dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,LandAndOceanMovingAverageTemperature12
1857-05-01,9.885,0.6809999999999999,15.6,1.975,3.639,0.7390000000000001,15.279000000000002,0.241,14.765916666666667
1857-06-01,12.611,0.7979999999999999,17.372,2.106,5.849,0.736,16.175,0.267,14.739500000000001
1857-07-01,13.953,0.792,18.717,1.48,7.438,1.352,16.477999999999998,0.266,14.723083333333333
1857-08-01,13.203,0.795,18.194000000000003,1.164,6.997999999999998,0.927,16.459,0.266,14.728833333333332
1857-09-01,11.056,0.672,17.223000000000006,1.133,5.146,1.467,15.84,0.241,14.745416666666666
1857-10-01,8.198,0.726,14.558,2.017,2.881,1.5830000000000002,14.918,0.255,14.756666666666668
1857-11-01,5.236000000000001,0.636,10.527,3.003,-0.605,1.579,13.829,0.241,14.754416666666666
1857-12-01,3.515,0.7170000000000001,9.509,2.607,-1.546,1.804,13.367,0.26,14.758249999999999
1858-01-01,2.739,1.094,9.044,2.067,-2.692,2.052,13.220999999999998,0.347,14.779000000000002
1858-02-01,2.2840000000000003,0.662,7.829,2.149,-4.1480000000000015,1.591,13.29,0.236,14.771083333333332
1858-03-01,4.834,0.757,10.44,1.837,-1.4700000000000002,1.325,14.044,0.255,14.78175
1858-04-01,8.25,0.6609999999999999,13.912,1.741,1.041,1.479,14.967,0.239,14.822249999999999
1858-05-01,10.851,0.624,16.258000000000006,2.225,3.8640000000000008,1.055,15.541,0.231,14.844083333333332
1858-06-01,12.956,0.688,18.968,1.622,7.037999999999999,0.677,16.172,0.248,14.84383333333333
1858-07-01,13.677,0.754,18.561,1.694,7.888,0.845,16.51,0.266,14.8465
1858-08-01,13.22,0.5579999999999999,18.261,1.862,7.2639999999999985,0.88,16.489,0.216,14.849000000000002
1858-09-01,11.148,0.517,17.559,1.227,5.505,1.374,15.833,0.213,14.848416666666667
1858-10-01,8.809999999999997,0.62,15.071,1.825,3.688,0.921,15.114,0.246,14.86475
1858-11-01,5.99,0.774,9.803,2.061,-0.6840000000000002,1.289,14.134,0.276,14.890166666666666
1858-12-01,2.444,0.688,8.49,2.13,-1.965,1.204,13.263,0.249,14.8815
1859-01-01,2.015,1.007,8.074,1.753,-2.7,1.295,13.058,0.326,14.867916666666666
1859-02-01,2.611,1.0,8.968,1.791,-1.858,1.713,13.33,0.327,14.871250000000002
1859-03-01,5.023,0.916,11.16,1.37,-0.4580000000000001,1.035,14.104,0.312,14.876249999999999
1859-04-01,8.542,0.617,14.225,2.009,1.4340000000000002,0.8640000000000001,15.197,0.246,14.895416666666668
1859-05-01,11.456,0.616,17.021,1.236,5.277,1.77,15.868,0.238,14.922666666666666
1859-06-01,13.142,0.514,18.285,2.2840000000000003,7.057,1.026,16.400000000000002,0.226,14.941666666666665
1859-07-01,13.827,0.5670000000000001,19.444000000000003,1.968,7.85,0.737,16.494,0.234,14.940333333333333
1859-08-01,13.217,0.468,19.201,1.673,7.964999999999999,0.8490000000000001,16.45,0.205,14.937083333333334
1859-09-01,11.079999999999998,0.365,16.483,1.839,5.422999999999999,0.873,15.589,0.204,14.91675
1859-10-01,8.834,0.638,14.235,1.945,2.968,0.908,15.062,0.25,14.912416666666665
1859-11-01,5.912000000000001,0.5720000000000001,10.973,1.519,-0.0140000000000001,0.996,14.094,0.244,14.909083333333333
1859-12-01,3.365,0.816,8.254999999999999,3.11,-3.422,1.65,13.513,0.287,14.929916666666665
1860-01-01,2.077,0.86,9.771999999999998,2.26,-2.059,1.59,13.17,0.294,14.939250000000001
1860-02-01,2.632,0.75,8.747,2.3480000000000003,-3.232,1.188,13.424,0.275,14.947083333333332
1860-03-01,3.494,0.87,11.821,2.164,-0.7140000000000001,1.146,13.714,0.302,14.914583333333335
1860-04-01,7.76,0.46,13.511,1.721,1.805,1.295,14.861,0.209,14.886583333333334
1860-05-01,11.062,0.7440000000000001,16.822000000000006,1.139,4.792000000000002,1.094,15.758,0.276,14.877416666666667
1860-06-01,13.271999999999998,0.5479999999999999,19.163,1.361,7.212999999999999,0.7659999999999999,16.338,0.24,14.872250000000001
1860-07-01,14.203,0.471,18.566,2.125,7.45,0.8590000000000001,16.737000000000002,0.221,14.8925
1860-08-01,13.765,0.503,18.984,1.5590000000000002,7.068999999999999,0.65,16.634,0.234,14.907833333333334
1860-09-01,11.892,0.535,16.892000000000003,2.219,5.5360000000000005,1.212,16.133,0.242,14.953166666666666
1860-10-01,8.712,0.466,13.677,1.876,2.906,0.903,15.076,0.223,14.954333333333333
1860-11-01,5.027,0.555,11.012,1.971,-0.111,1.121,13.922,0.233,14.940000000000003
1860-12-01,1.634,0.75,8.556000000000001,2.475,-2.5250000000000004,1.188,12.828,0.277,14.882916666666667
1861-01-01,0.4040000000000004,0.846,7.7429999999999986,2.125,-3.256,1.721,12.475,0.299,14.825000000000001
1861-02-01,2.137,0.755,8.600999999999999,1.862,-3.055,1.479,12.917000000000002,0.28,14.782750000000002
1861-03-01,4.489,0.759,9.786,2.204,-2.007,1.402,13.824000000000002,0.3,14.791916666666667
1861-04-01,7.486999999999999,0.6990000000000001,12.772,1.435,1.372,0.999,15.018,0.291,14.805
1861-05-01,10.515999999999998,0.5379999999999999,15.401000000000002,2.279,3.858000000000001,0.887,15.489,0.277,14.782583333333333
1861-06-01,13.017,0.7979999999999999,19.299,1.078,7.391,1.3219999999999998,16.358,0.319,14.78425
1861-07-01,13.967,0.477,19.37,1.53,7.803,1.286,16.547,0.261,14.768416666666667
1861-08-01,13.656,0.5760000000000001,18.907,1.014,7.562999999999999,0.867,16.715999999999998,0.264,14.77525
1861-09-01,11.409,0.501,17.769000000000005,1.736,5.988,0.936,15.927,0.243,14.758083333333333
1861-10-01,8.475,0.494,15.644,1.99,3.277,0.8490000000000001,14.905,0.244,14.743833333333335
1861-11-01,5.707000000000001,0.482,12.044,2.353,0.41,0.995,14.095,0.24,14.758250000000002
1861-12-01,2.894,0.916,8.945,1.29,-2.191,1.221,13.337,0.324,14.800666666666666
1862-01-01,0.685,1.105,7.360999999999999,2.394,-4.11,1.745,12.658,0.378,14.815916666666666
1862-02-01,1.769,0.7120000000000001,7.407,2.7960000000000003,-4.346,2.057,13.192,0.295,14.838833333333334
1862-03-01,4.485,0.6609999999999999,11.112,2.0,-1.314,1.149,14.044,0.284,14.857166666666666
1862-04-01,7.322999999999999,0.8270000000000001,13.955,2.977,1.932,1.11,14.825,0.316,14.841083333333335
1862-05-01,10.739,0.58,17.854000000000006,1.311,5.675000000000002,1.496,15.708,0.26,14.859333333333334
1862-06-01,12.86,0.535,18.539,1.843,6.795,1.187,16.349,0.244,14.858583333333334
1862-07-01,13.928,0.445,20.663,1.998,9.21,1.862,16.593,0.232,14.862416666666666
1862-08-01,13.188,0.504,19.605,1.258,8.085999999999999,1.3330000000000002,16.305999999999997,0.247,14.828249999999999
1862-09-01,11.028,0.519,18.042,0.961,6.122999999999999,1.189,15.788,0.245,14.816666666666668
1862-10-01,8.283,0.618,15.138,1.961,3.245,1.0490000000000002,14.902,0.269,14.816416666666667
1862-11-01,4.792,0.7509999999999999,11.889,2.008,0.2439999999999999,1.5830000000000002,13.784,0.31,14.7905
1862-12-01,1.6230000000000002,1.01,9.402,2.597,-1.747,1.5719999999999998,12.732,0.3720000000000001,14.740083333333333
1863-01-01,3.0340000000000003,1.228,8.462,3.188,-1.766,2.51,13.296,0.417,14.79325
1863-02-01,3.253,1.099,8.908999999999997,1.653,-2.1100000000000003,1.393,13.634,0.389,14.830083333333333
1863-03-01,4.682,0.7829999999999999,10.352,1.234,-0.853,1.362,14.005999999999998,0.312,14.826916666666667
1863-04-01,7.930999999999999,0.792,14.257,2.117,1.642,1.231,15.01,0.319,14.84233333333333
1863-05-01,11.081,0.687,16.999000000000002,2.396,5.917000000000002,1.777,15.823,0.281,14.851916666666666
1863-06-01,12.794,0.542,18.202,2.013,7.925000000000002,1.462,16.224,0.266,14.841499999999998
1863-07-01,13.765,0.642,18.095,1.943,8.307,0.89,16.575,0.301,14.840000000000002
1863-08-01,13.294,0.523,18.408,1.931,7.832999999999998,0.927,16.437,0.276,14.850916666666665
1863-09-01,11.23,0.556,15.910000000000002,1.161,5.439,1.391,15.898,0.283,14.860083333333336
1863-10-01,8.235,0.521,13.944,1.375,3.282,0.7909999999999999,14.978,0.278,14.866416666666666
1863-11-01,5.392,0.515,11.351,1.255,0.1749999999999999,1.319,13.992,0.287,14.883750000000001
1863-12-01,2.651,1.088,8.55,1.828,-2.5860000000000003,1.09,13.356,0.387,14.93575
1864-01-01,1.551,0.8759999999999999,7.071000000000001,1.503,-3.848,1.789,12.879,0.332,14.900999999999998
1864-02-01,2.506,1.05,8.542,1.51,-2.8560000000000003,1.565,13.275,0.3720000000000001,14.871083333333333
1864-03-01,4.651,0.767,11.747,1.833,-0.7250000000000001,1.6880000000000002,13.99,0.307,14.869750000000002
1864-04-01,7.515,0.622,13.395,1.09,1.665,1.374,14.83,0.291,14.854750000000001
1864-05-01,10.956,0.531,16.908,0.935,4.849,0.8390000000000001,15.851,0.282,14.857083333333334
1864-06-01,13.365,0.73,18.457,1.541,7.909000000000002,0.7609999999999999,16.490000000000002,0.285,14.87925
1864-07-01,14.162,0.57,18.831,1.3330000000000002,7.412999999999999,0.846,16.715,0.256,14.890916666666667
1864-08-01,13.434,0.5660000000000001,18.909,0.8740000000000001,7.5459999999999985,0.7979999999999999,16.494,0.25,14.895666666666669
1864-09-01,11.37,0.546,17.063000000000002,1.188,5.721,0.939,15.85,0.271,14.891666666666667
1864-10-01,8.795,0.484,15.047,1.651,3.2460000000000004,1.606,14.972,0.251,14.891166666666669
1864-11-01,5.232,0.6990000000000001,12.502,1.611,0.6649999999999999,2.153,14.140999999999998,0.281,14.903583333333332
1864-12-01,2.266,0.6759999999999999,8.555,1.04,-2.6630000000000003,1.547,13.271,0.276,14.896499999999998
1865-01-01,2.975,0.956,8.841000000000001,1.331,-3.212,1.962,13.503,0.348,14.948500000000001
1865-02-01,2.152,0.8320000000000001,8.911,1.17,-3.117,1.606,13.505999999999998,0.329,14.96775
1865-03-01,4.039,0.768,11.582,2.153,-0.5920000000000001,1.918,13.914,0.3229999999999999,14.961416666666665
1865-04-01,7.313999999999999,0.643,14.276,1.359,1.793,1.22,14.861,0.3,14.964
1865-05-01,10.917,0.488,16.968,1.314,4.8740000000000006,0.81,15.755999999999998,0.27,14.956083333333334
1865-06-01,13.214,0.586,19.022,1.301,7.508999999999999,0.612,16.414,0.277,14.94975
1865-07-01,14.22,0.542,19.108,1.134,8.163,0.983,16.749000000000002,0.292,14.952583333333331
1865-08-01,13.58,0.535,19.111,1.74,7.594999999999999,0.698,16.657,0.287,14.966166666666666
1865-09-01,11.797,0.5539999999999999,17.840999999999998,1.039,5.789,1.3030000000000002,16.082,0.29,14.9855
1865-10-01,9.136,0.444,15.281,1.936,3.345,0.908,15.157,0.286,15.000916666666667
1865-11-01,6.144,0.71,12.418,1.112,0.992,1.384,14.101,0.316,14.997583333333333
1865-12-01,2.6460000000000004,0.888,8.218,1.703,-2.5170000000000003,1.255,13.26,0.333,14.996666666666664
1866-01-01,2.932,0.861,8.187999999999999,1.395,-2.923,1.517,13.467,0.325,14.993666666666668
1866-02-01,2.274,0.8540000000000001,9.636,1.18,-2.053,1.262,13.586,0.328,15.000333333333336
1866-03-01,4.421,0.711,10.824000000000002,1.328,-0.8809999999999999,1.148,13.95,0.309,15.003333333333336
1866-04-01,7.914,0.531,14.889,1.224,2.084,1.248,14.713,0.267,14.991
1866-05-01,10.898,0.5660000000000001,16.817,0.845,4.582000000000002,0.823,15.63,0.279,14.9805
1866-06-01,12.853,0.4320000000000001,18.753,1.1740000000000002,7.077000000000001,1.008,16.596,0.258,14.995666666666667
1866-07-01,14.602,0.44,20.369,0.715,8.183,0.721,17.06,0.259,15.021583333333334
1866-08-01,13.532,0.629,18.947,1.031,7.087999999999999,0.8859999999999999,16.695,0.288,15.02475
1866-09-01,11.527,0.496,17.508000000000006,1.401,5.807,0.916,15.918,0.272,15.011083333333334
1866-10-01,8.506,0.512,14.624,0.848,2.994,0.91,15.062,0.28,15.003166666666667
1866-11-01,5.8950000000000005,0.526,10.76,1.183,0.182,1.503,14.275,0.269,15.017666666666665
1866-12-01,4.152,0.7140000000000001,8.676,1.026,-2.9530000000000003,1.854,13.732,0.299,15.057
1867-01-01,2.482,0.941,8.136999999999999,1.332,-3.3080000000000003,1.385,13.371,0.364,15.049
1867-02-01,2.664,0.936,9.183,1.4369999999999998,-2.172,1.3969999999999998,13.458,0.348,15.038333333333334
1867-03-01,4.4540000000000015,0.65,10.572,2.025,-1.195,2.083,14.073,0.267,15.048583333333333
1867-04-01,8.258,0.611,13.852,0.8290000000000001,2.307,1.029,15.1,0.277,15.080833333333333
1867-05-01,10.495,0.414,16.21,1.162,4.665000000000001,0.782,15.56,0.241,15.075000000000001
1867-06-01,13.303,0.482,19.753,0.825,8.032,0.722,16.366,0.252,15.055833333333334
1867-07-01,14.223,0.401,20.032,1.031,8.387,0.8320000000000001,16.672,0.244,15.0235
1867-08-01,13.505999999999998,0.417,19.626,1.069,7.705999999999999,0.775,16.454,0.256,15.003416666666666
1867-09-01,11.763,0.458,17.566000000000006,0.92,5.9110000000000005,0.76,16.147000000000002,0.254,15.0225
1867-10-01,9.212,0.479,15.374,1.052,3.705,0.995,15.318,0.251,15.043833333333332
1867-11-01,6.939,0.784,11.143,1.102,-0.7959999999999999,1.388,14.632,0.31,15.073583333333334
1867-12-01,3.937,1.045,8.312999999999999,1.051,-3.678,1.274,13.553,0.365,15.058666666666667
1868-01-01,1.834,0.795,7.611000000000001,1.592,-3.478,1.807,13.012,0.304,15.02875
1868-02-01,2.039,0.8490000000000001,8.817,1.823,-3.455,1.6030000000000002,13.295,0.3229999999999999,15.015166666666667
1868-03-01,4.538,0.578,11.411,1.025,-0.63,0.96,14.135,0.256,15.020333333333333
1868-04-01,8.183,0.493,13.316,1.135,1.138,0.95,15.082,0.241,15.018833333333333
1868-05-01,11.308,0.494,17.059,1.103,4.8610000000000015,0.723,15.992,0.241,15.054833333333335
1868-06-01,13.162,0.375,19.005,0.959,7.202999999999999,0.609,16.529,0.231,15.06841666666667
1868-07-01,14.514,0.431,20.504,1.026,8.702,0.649,17.025000000000002,0.226,15.097833333333334
1868-08-01,13.744000000000002,0.552,19.818,0.8340000000000001,8.120999999999999,0.7879999999999999,16.793,0.251,15.126083333333334
1868-09-01,11.669,0.418,17.988000000000003,0.799,5.726,0.69,16.107,0.217,15.122749999999998
1868-10-01,9.448,0.428,14.925,0.956,3.0860000000000003,0.964,15.376,0.218,15.127583333333334
1868-11-01,5.192,0.504,10.181,1.421,-0.3500000000000001,1.196,14.174,0.224,15.089416666666667
1868-12-01,3.344,0.639,8.54,1.541,-2.488,1.598,13.643,0.26,15.096916666666667
1869-01-01,2.115,1.028,8.206,1.4680000000000002,-3.173,1.6980000000000002,13.289,0.35,15.12
1869-02-01,3.864,0.82,9.618,1.571,-2.406,1.288,13.951,0.303,15.174666666666667
1869-03-01,4.3740000000000006,0.631,11.012,1.665,-1.3119999999999998,1.412,13.947,0.255,15.159
1869-04-01,7.9209999999999985,0.758,13.787,1.033,1.297,1.263,15.015999999999998,0.281,15.153500000000001
1869-05-01,11.295,0.642,17.279,1.51,4.3820000000000014,1.151,15.896,0.254,15.145499999999998
1869-06-01,13.537,0.532,18.871,0.863,7.1960000000000015,0.628,16.396,0.234,15.134416666666667
1869-07-01,14.337,0.449,19.825,1.325,7.732,1.205,16.667,0.218,15.104583333333332
1869-08-01,14.01,0.4370000000000001,19.663,1.055,7.947999999999999,1.062,16.711000000000002,0.201,15.09775
1869-09-01,12.247,0.382,17.561,1.07,5.377000000000001,1.167,16.18,0.193,15.103833333333334
1869-10-01,9.006,0.456,14.063,1.005,1.968,0.777,15.171,0.206,15.08675
1869-11-01,5.773,0.499,10.418,1.061,-0.5090000000000001,1.75,14.255,0.216,15.0935
1869-12-01,2.7060000000000004,0.514,8.531,1.222,-2.519,1.622,13.307,0.212,15.0655
1870-01-01,2.082,0.8079999999999999,8.527000000000001,1.372,-3.3070000000000004,1.225,13.303999999999998,0.277,15.06675
1870-02-01,2.1340000000000003,0.7040000000000001,8.544,1.829,-3.527,1.369,13.359000000000002,0.253,15.017416666666668
1870-03-01,4.656000000000001,0.568,9.692,1.617,-1.419,1.164,14.139,0.22,15.033416666666666
1870-04-01,7.879,0.524,14.287,2.127,1.5699999999999998,1.41,15.052,0.218,15.036416666666668
1870-05-01,11.339,0.579,18.068,1.118,5.33,0.969,15.826,0.235,15.030583333333334
1870-06-01,13.653,0.486,19.531,1.581,7.792999999999999,0.918,16.511000000000006,0.208,15.040166666666666
1870-07-01,14.599,0.4,20.29,1.625,8.850999999999997,0.992,16.86,0.19,15.05625
1870-08-01,13.484000000000002,0.411,19.318,1.107,7.973999999999998,0.8809999999999999,16.617,0.196,15.048416666666668
1870-09-01,11.952,0.412,17.017000000000003,1.332,5.456,1.257,16.073,0.195,15.039500000000002
1870-10-01,8.809999999999997,0.542,14.188,1.414,2.8480000000000003,1.354,15.056,0.234,15.029916666666667
1870-11-01,5.6,0.529,12.574000000000002,1.401,0.629,1.203,14.079,0.229,15.01525
1870-12-01,2.228,0.639,8.485,1.4880000000000002,-3.1,2.065,13.175999999999998,0.243,15.004333333333333
1871-01-01,1.4469999999999998,0.7929999999999999,7.962000000000001,1.379,-2.9370000000000003,1.432,13.089,0.287,14.986416666666665
1871-02-01,1.736,0.94,8.782,1.589,-3.0610000000000004,1.217,13.299,0.326,14.981416666666666
1871-03-01,4.6850000000000005,0.649,11.047,1.101,-1.75,1.955,14.223,0.251,14.988416666666668
1871-04-01,8.34,0.461,13.97,1.33,1.89,1.279,15.233,0.206,15.003500000000003
1871-05-01,10.787999999999998,0.451,16.627000000000002,1.129,4.525,0.846,15.77,0.205,14.998833333333332
1871-06-01,13.08,0.392,19.127,1.227,7.4700000000000015,1.175,16.458000000000002,0.188,14.994416666666666
1871-07-01,14.29,0.382,19.837,1.035,7.927,0.816,16.858,0.193,14.99425
1871-08-01,13.932,0.449,19.812,0.6559999999999999,7.898,0.873,16.653000000000002,0.193,14.997250000000001
1871-09-01,11.711,0.516,17.394000000000002,0.875,5.037,0.923,16.02,0.219,14.992833333333332
1871-10-01,9.096,0.412,14.697,0.802,2.891,0.797,15.061,0.206,14.993250000000002
